state,effective_date,order_in_place
Alabama,2020-04-04,1
Alaska,2020-03-28,1
Arizona,2020-03-31,1
Arkansas,,0
California,2020-03-19,1
Colorado,2020-03-26,1
Connecticut,2020-03-23,1
Delaware,2020-03-24,1
Florida,2020-04-03,1
Georgia,2020-04-03,1
Hawaii,2020-03-25,1
Idaho,2020-03-25,1
Illinois,2020-03-21,1
Indiana,2020-03-24,1
Iowa,,0
Kansas,2020-03-30,1
Kentucky,2020-03-26,1
Louisiana,2020-03-23,1
Maine,2020-04-02,1
Maryland,2020-03-30,1
Massachusetts,2020-03-24,1
Michigan,2020-03-24,1
Minnesota,2020-03-27,1
Mississippi,2020-04-03,1
Missouri,2020-04-06,1
Montana,2020-03-28,1
Nebraska,,0
Nevada,2020-04-01,1
New Hampshire,2020-03-27,1
New Jersey,2020-03-21,1
New Mexico,2020-03-24,1
New York,2020-03-22,1
North Carolina,2020-03-30,1
North Dakota,2020-03-23,1
Ohio,,0
Oklahoma,2020-03-28,1
Oregon,2020-03-23,1
Pennsylvania,2020-04-01,1
Rhode Island,2020-03-28,1
South Carolina,2020-03-26,1
South Dakota,,0
Tennessee,2020-03-31,1
Texas,2020-04-02,1
Utah,2020-03-30,1
Vermont,2020-03-25,1
Virginia,2020-03-30,1
Washington,2020-03-23,1
West Virginia,2020-03-24,1
Wisconsin,2020-03-25,1
Wyoming,2020-03-28,1
